証券コード,33業種番号,33業種名,17業種番号,17業種名
59460,3550,金属製品,3,建設・資材
22060,3050,食料品,1,食品
81790,6100,小売業,14,小売
75310,6050,卸売業,13,商社・卸売
64000,3600,機械,8,機械
21930,9050,サービス業,10,情報通信・サービスその他
79920,3800,その他製品,10,情報通信・サービスその他
77390,3650,電気機器,9,電機・精密
45880,3250,医薬品,5,医薬品
73090,3700,輸送用機器,6,自動車・輸送機
25730,3050,食料品,1,食品
41070,3200,化学,4,素材・化学
67480,3650,電気機器,9,電機・精密
39480,3150,パルプ・紙,4,素材・化学
41700,5250,情報･通信業,10,情報通信・サービスその他
59970,3550,金属製品,3,建設・資材
80400,3100,繊維製品,4,素材・化学
93370,9050,サービス業,10,情報通信・サービスその他
43510,7200,その他金融業,16,金融（除く銀行）
70390,9050,サービス業,10,情報通信・サービスその他
51870,3750,精密機器,9,電機・精密
97040,9050,サービス業,10,情報通信・サービスその他
61770,9050,サービス業,10,情報通信・サービスその他
24990,9050,サービス業,10,情報通信・サービスその他
39280,5250,情報･通信業,10,情報通信・サービスその他
61640,3600,機械,8,機械
24180,9050,サービス業,10,情報通信・サービスその他
20090,3050,食料品,1,食品
61430,3600,機械,8,機械
96120,9050,サービス業,10,情報通信・サービスその他
39440,3150,パルプ・紙,4,素材・化学
47250,5250,情報･通信業,10,情報通信・サービスその他
78160,,,,
32990,8050,不動産業,17,不動産
61490,3600,機械,8,機械
37190,5250,情報･通信業,10,情報通信・サービスその他
45950,3250,医薬品,5,医薬品
96560,9050,サービス業,10,情報通信・サービスその他
71280,6050,卸売業,13,商社・卸売
39470,3150,パルプ・紙,4,素材・化学
30010,3100,繊維製品,4,素材・化学
60670,,,,
29860,8050,不動産業,17,不動産
33020,3100,繊維製品,4,素材・化学
53950,,,,
14350,8050,不動産業,17,不動産
30400,5250,情報･通信業,10,情報通信・サービスその他
50100,3300,石油･石炭製品,2,エネルギー資源
24920,9050,サービス業,10,情報通信・サービスその他
39970,5250,情報･通信業,10,情報通信・サービスその他
79760,3800,その他製品,10,情報通信・サービスその他
79860,3800,その他製品,10,情報通信・サービスその他
63020,3600,機械,8,機械
52010,3400,ガラス･土石製品,3,建設・資材
22120,3050,食料品,1,食品
27520,6100,小売業,14,小売
43240,9050,サービス業,10,情報通信・サービスその他
67210,3650,電気機器,9,電機・精密
78460,3800,その他製品,10,情報通信・サービスその他
40040,3200,化学,4,素材・化学
59430,3550,金属製品,3,建設・資材
23250,9050,サービス業,10,情報通信・サービスその他
65460,9050,サービス業,10,情報通信・サービスその他
27000,6050,卸売業,13,商社・卸売
40450,3200,化学,4,素材・化学
41860,3200,化学,4,素材・化学
14490,,,,
73590,9050,サービス業,10,情報通信・サービスその他
39110,5250,情報･通信業,10,情報通信・サービスその他
73580,9050,サービス業,10,情報通信・サービスその他
76130,6050,卸売業,13,商社・卸売
47550,9050,サービス業,10,情報通信・サービスその他
44500,5250,情報･通信業,10,情報通信・サービスその他
77510,3650,電気機器,9,電機・精密
49670,3200,化学,4,素材・化学
